"1","China","1448471.4000","1444216.1070","1.0029","9706961","149.2199"
"2","India","1406631.7760","1393409.0380","1.0095","3287590","427.8611"
"3","United States","334805.2690","332915.0730","1.0057","9372610","35.7217"
"4","Indonesia","279134.5050","276361.7830","1.0100","1904569","146.5605"
"5","Pakistan","229488.9940","225199.9370","1.0190","881912","260.2176"
"6","Nigeria","216746.9340","211400.7080","1.0253","923768","234.6335"
"7","Brazil","215353.5930","213993.4370","1.0064","8515767","25.2888"
"8","Bangladesh","167885.6890","166303.4980","1.0095","147570","1137.6682"
"9","Russia","145805.9470","145912.0250","0.9993","17098242","8.5275"
"10","Mexico","131562.7720","130262.2160","1.0100","1964375","66.9744"
"11","Japan","125584.8380","126050.8040","0.9963","377930","332.2966"
"12","Ethiopia","120812.6980","117876.2270","1.0249","1104300","109.4021"
"13","Philippines","112508.9940","111046.9130","1.0132","342353","328.6345"
"14","Egypt","106156.6920","104258.3270","1.0182","1002450","105.8972"
"15","Vietnam","98953.5410","98168.8330","1.0080","331212","298.7619"
"16","DR Congo","95240.7920","92377.9930","1.0310","2344858","40.6169"
"17","Iran","86022.8370","85028.7590","1.0117","1648195","52.1921"
"18","Turkey","85561.9760","85042.7380","1.0061","783562","109.1962"
"19","Germany","83883.5960","83900.4730","0.9998","357114","234.8930"
"20","Thailand","70078.2030","69950.8500","1.0018","513120","136.5727"
"21","United Kingdom","68497.9070","68207.1160","1.0043","242900","282.0004"
"22","France","65584.5180","65426.1790","1.0024","551695","118.8782"
"23","Tanzania","63298.5500","61498.4370","1.0293","945087","66.9764"
"24","South Africa","60756.1350","60041.9940","1.0119","1221037","49.7578"
"25","Italy","60262.7700","60367.4770","0.9983","301336","199.9853"
"26","England","57367.8110","","1.0072","130279","440.3458"
"27","Kenya","56215.2210","54985.6980","1.0224","580367","96.8615"
"28","Myanmar","55227.1430","54806.0120","1.0077","676578","81.6272"
"29","Colombia","51512.7620","51265.8440","1.0048","1141748","45.1175"
"30","South Korea","51329.8990","51305.1860","1.0005","100210","512.2233"
"31","Uganda","48432.8630","47123.5310","1.0278","241550","200.5086"
"32","Spain","46719.1420","46745.2160","0.9994","505992","92.3318"
"33","Argentina","46010.2340","45605.8260","1.0089","2780400","16.5481"
"34","Sudan","45992.0200","44909.3530","1.0241","1886068","24.3851"
"35","Algeria","45350.1480","44616.6240","1.0164","2381741","19.0408"
"36","Ukraine","43192.1220","43466.8190","0.9937","603500","71.5694"
"37","Iraq","42164.9650","41179.3500","1.0239","438317","96.1974"
"38","Afghanistan","40754.3880","39835.4280","1.0231","652230","62.4847"
"39","Canada","38388.4190","38067.9030","1.0084","9984670","3.8447"
"40","Morocco","37772.7560","37344.7950","1.0115","446550","84.5880"
"41","Poland","37739.7850","37797.0050","0.9985","312679","120.6982"
"42","Saudi Arabia","35844.9090","35340.6830","1.0143","2149690","16.6745"
"43","Angola","35027.3430","33933.6100","1.0322","1246700","28.0960"
"44","Uzbekistan","34382.0840","33935.7630","1.0132","447400","76.8486"
"45","Peru","33684.2080","33359.4180","1.0097","1285216","26.2090"
"46","Malaysia","33181.0720","32776.1940","1.0124","330803","100.3046"
"47","Mozambique","33089.4610","32163.0470","1.0288","801590","41.2798"
"48","Ghana","32395.4500","31732.1290","1.0209","238533","135.8112"
"49","Yemen","31154.8670","30490.6400","1.0218","527968","59.0090"
"50","Nepal","30225.5820","29674.9200","1.0186","147181","205.3633"
"51","Venezuela","29266.9910","28704.9540","1.0196","916445","31.9353"
"52","Madagascar","29178.0770","28427.3280","1.0264","587041","49.7036"
"53","Cameroon","27911.5480","27224.2650","1.0252","475442","58.7065"
"54","Ivory Coast","27742.2980","27053.6290","1.0255","322463","86.0325"
"55","Niger","26083.6600","25130.8170","1.0379","1267000","20.5869"
"56","Australia","26068.7920","25788.2150","1.0109","7692024","3.3891"
"57","North Korea","25990.6790","25887.0410","1.0040","120538","215.6223"
"58","Taiwan","23888.5950","23855.0100","1.0014","36193","660.0336"
"59","Burkina Faso","22102.8380","21497.0960","1.0282","272967","80.9726"
"60","Sri Lanka","21575.8420","21497.3100","1.0037","65610","328.8499"
"61","Mali","21473.7640","20855.7350","1.0296","1240192","17.3149"
"62","Malawi","20180.8390","19647.6840","1.0271","118484","170.3254"
"63","Zambia","19470.2340","18920.6510","1.0290","752612","25.8702"
"64","Syria","19364.8090","18275.7020","1.0596","185180","104.5729"
"65","Chile","19250.1950","19212.3610","1.0020","756102","25.4598"
"66","Kazakhstan","19205.0430","18994.9620","1.0111","2724900","7.0480"
"67","Romania","19031.3350","19127.7740","0.9950","238391","79.8324"
"68","Guatemala","18584.0390","18249.8600","1.0183","108889","170.6696"
"69","Ecuador","18113.3610","17888.4750","1.0126","276841","65.4288"
"70","Senegal","17653.6710","17196.3010","1.0266","196722","89.7392"
"71","Chad","17413.5800","16914.9850","1.0295","1284000","13.5620"
"72","Netherlands","17211.4470","17173.0990","1.0022","41850","411.2652"
"73","Cambodia","17168.6390","16946.4380","1.0131","181035","94.8360"
"74","Somalia","16841.7950","16359.5040","1.0295","637657","26.4120"
"75","Zimbabwe","15331.4280","15092.1710","1.0159","390757","39.2352"
"76","Guinea","13865.6910","13497.2440","1.0273","245857","56.3974"
"77","Rwanda","13600.4640","13276.5130","1.0244","26338","516.3818"
"78","Benin","12784.7260","12451.0400","1.0268","112622","113.5189"
"79","Burundi","12624.8400","12255.4330","1.0301","27834","453.5762"
"80","Tunisia","12046.6560","11935.7660","1.0093","163610","73.6303"
"81","Bolivia","11992.6560","11832.9400","1.0135","1098581","10.9165"
"82","Haiti","11680.2830","11541.6850","1.0120","27750","420.9111"
"83","Belgium","11668.2780","11632.3260","1.0031","30528","382.2156"
"84","South Sudan","11618.5110","11381.3780","1.0208","619745","18.7472"
"85","Cuba","11305.6520","11317.5050","0.9990","109884","102.8872"
